epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6878,1.15348,3.29219,1.4142,0.0058,0.84311,0.20289,0.14661,0.96925,3.13893,1.39817,0.000249213,0.000249213,0.000249213
2,43.8631,1.2553,2.45334,1.47415,0.8407,0.15572,0.17769,0.09097,1.32413,2.29695,1.8785,0.000500541,0.000500541,0.000500541
3,64.801,1.20703,2.03426,1.44252,0.69599,0.27461,0.15766,0.08036,1.35358,2.15599,1.85036,0.000746794,0.000746794,0.000746794
4,84.7312,1.26075,1.83995,1.48084,0.84127,0.18533,0.21591,0.12749,1.26592,2.42031,1.71172,0.000746161,0.000746161,0.000746161
5,104.905,1.19267,1.80146,1.43508,0.83517,0.17695,0.20392,0.11792,1.1945,2.25705,1.65689,0.000738548,0.000738548,0.000738548
6,124.749,1.18689,1.65515,1.41791,0.78887,0.20383,0.26451,0.15933,1.16757,1.80918,1.57834,0.000730935,0.000730935,0.000730935
7,145.592,1.16259,1.6125,1.4039,0.7468,0.28996,0.26555,0.16141,1.16615,1.89712,1.5189,0.000723321,0.000723321,0.000723321
8,165.473,1.14293,1.60267,1.40025,0.77197,0.29295,0.25746,0.14376,1.20179,1.84196,1.57848,0.000715708,0.000715708,0.000715708
9,187.043,1.12381,1.54531,1.3838,0.85508,0.33688,0.32456,0.17787,1.05682,1.75527,1.39235,0.000708095,0.000708095,0.000708095
10,207.982,1.10715,1.4468,1.36175,0.76308,0.33429,0.31178,0.21553,1.08394,1.67851,1.43656,0.000700482,0.000700482,0.000700482
11,227.836,1.06185,1.43858,1.34543,0.73607,0.31057,0.30125,0.19158,1.05148,1.60141,1.42411,0.000692869,0.000692869,0.000692869
12,248.216,1.06087,1.38465,1.3329,0.81742,0.30483,0.31037,0.19808,1.04123,1.54592,1.43276,0.000685256,0.000685256,0.000685256
13,268.7,1.04366,1.40013,1.31663,0.79291,0.37578,0.32113,0.20807,1.03909,1.67955,1.44522,0.000677643,0.000677643,0.000677643
14,288.868,1.02716,1.30692,1.31236,0.86658,0.28823,0.35325,0.23895,1.04078,1.38099,1.45997,0.00067003,0.00067003,0.00067003
15,309.113,1.00666,1.2637,1.2999,0.79106,0.3269,0.32257,0.22231,1.05393,1.43063,1.38932,0.000662417,0.000662417,0.000662417
16,329.125,1.01458,1.26093,1.3019,0.90355,0.3153,0.38031,0.26105,0.9864,1.30715,1.35944,0.000654804,0.000654804,0.000654804
17,349.881,1.05214,1.24879,1.33711,0.82435,0.34326,0.36777,0.24486,1.00692,1.33674,1.37839,0.00064719,0.00064719,0.00064719
18,369.23,0.97868,1.17619,1.2789,0.8969,0.33942,0.37472,0.25487,0.96046,1.30754,1.32246,0.000639577,0.000639577,0.000639577
19,389.839,0.97471,1.15704,1.2661,0.89892,0.34794,0.42022,0.30096,0.87471,1.19508,1.27126,0.000631964,0.000631964,0.000631964
20,409.807,0.9559,1.10408,1.26062,0.88077,0.38209,0.41249,0.2946,0.94275,1.21192,1.31632,0.000624351,0.000624351,0.000624351
21,430.215,0.96889,1.11245,1.26121,0.90243,0.37845,0.40144,0.29248,0.87838,1.23166,1.27055,0.000616738,0.000616738,0.000616738
22,452.438,0.98437,1.12614,1.26527,0.89808,0.36338,0.40023,0.2842,0.92389,1.18406,1.28808,0.000609125,0.000609125,0.000609125
23,471.881,0.94512,1.07257,1.25717,0.8378,0.35201,0.37776,0.27831,0.9628,1.24731,1.34092,0.000601512,0.000601512,0.000601512
24,492.529,0.90939,1.04682,1.23214,0.93097,0.38051,0.43431,0.32004,0.91609,1.15074,1.27484,0.000593899,0.000593899,0.000593899
25,512.139,0.95279,1.06271,1.24145,0.92541,0.35552,0.42106,0.3112,0.91922,1.22498,1.30965,0.000586286,0.000586286,0.000586286
26,533.012,0.89009,0.98769,1.21899,0.86122,0.36469,0.43478,0.30076,0.95843,1.25437,1.3045,0.000578672,0.000578672,0.000578672
27,553.499,0.91803,1.03471,1.24283,0.90933,0.38095,0.42878,0.3283,0.88433,1.17283,1.30029,0.000571059,0.000571059,0.000571059
28,573.36,0.91615,0.9758,1.22759,0.89856,0.39284,0.45378,0.32174,0.93125,1.21566,1.30884,0.000563446,0.000563446,0.000563446
29,593.555,0.89417,0.94245,1.21448,0.92029,0.40206,0.45061,0.33236,0.86594,1.05706,1.22253,0.000555833,0.000555833,0.000555833
30,612.488,0.8968,0.92925,1.2176,0.75209,0.39981,0.41931,0.29995,0.89591,1.18241,1.28202,0.00054822,0.00054822,0.00054822
